Stim,Bard,Bard 0 or 1,Bard Continuous,GPT-3.5,GPT-3.5 0 or 1,GPT-3.5 Continuous,GPT-4,GPT-4 0 or 1,GPT-4 Continuous
the cat orange.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the cat pet.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cat skin.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the cat tree.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,3
the cattle car.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the cattle farmer.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cattle home.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the cattle truck.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3
the cave snow.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the chair bag.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the chair beach.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the chair dog.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the chair face.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,0
the chair kitchen.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the chair lawn.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the chair leg.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,4
the chair peacock.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the cheek butt.,Nonsense,0,0,Nonsense,0,1,Nonsense,0,0
the cheese cake.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the cheese dish.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,3
the cheese goat.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the chef television.,Nonsense,0,3,Nonsense,0,3,Nonsense,0,1
the chess book.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the chess engine.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4
the chess library.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the chestnut tree.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the chicken blood.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the chicken breast.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the chicken dish.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the chicken farmer.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4
the chicken meat.,Makes Sense,1,4,Nonsense,0,2,Makes Sense,1,4
the chicken pen.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,4
the chicken pet.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4
the chicken rib.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the chicken salad.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the chicken soup.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the child boy.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,2
the child infant.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,3
the child mother.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the child seat.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the chimp mother.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the chocolate cake.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the chocolate candy.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the chocolate dog.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the chocolate ice.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the chocolate nose.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the church bell.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the church building.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the church door.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the church girl.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the church key.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the church library.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the church mouse.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,4
the church school.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the cigar smoke.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,3
the cigarette butt.,Nonsense,0,2,Makes Sense,1,1,Makes Sense,1,1
the cigarette money.,Nonsense,0,1,Nonsense,0,3,Nonsense,0,1
the cigarette smoke.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the circle flower.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the circle rainbow.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the circle shoe.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the circus clown.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the circus elephant.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cliff tree.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the clock body.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1
the clock boy.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the clock face.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the clock pendulum.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4
the clock police.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the clothes baby.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the clothes bed.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1
the clothes dress.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the clothes police.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,0
the clothes prison.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the clothes school.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the clothes stage.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the clothes street.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,0
the clothes summer.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2
the clothes winter.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the cloud building.,Makes Sense,1,3,Nonsense,0,3,Nonsense,0,1
the cloud forest.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the cloud rain.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the cloud smoke.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the clown car.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the clown circus.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4
the clown face.,Nonsense,0,2,Nonsense,0,2,Makes Sense,1,3
the clown pants.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,2
the clown school.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the cocktail shrimp.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cocktail umbrella.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the coffee boy.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the coffee cake.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the coffee guy.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the coffee house.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the coffee pot.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the coffee tea.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the coffin lid.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the coffin ship.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the coin door.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the cop car.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the cop guy.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the cop midnight.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2
the cop school.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the cop street.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the cop weed.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the corn baby.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the corn bread.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the corn cow.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the corn dog.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the corn farmer.,Makes Sense,1,4,Makes Sense,1,3,Nonsense,0,4
the corn field.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the corn flour.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the corn salad.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the corpse lizard.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the cottage cheese.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the cottage garden.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the cottage home.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cottage milk.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1
the cow blood.,Makes Sense,1,1,Makes Sense,1,1,Nonsense,0,1
the cow corn.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the cow girl.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the cow ship.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the crab cake.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the crab grass.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,1
the crab meat.,Nonsense,0,4,Makes Sense,1,3,Makes Sense,1,4
the cranberry juice.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cranberry salad.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4
the crate dog.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,2
the crate door.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the crib home.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the crib sheet.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the crocodile baby.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the crown gold.,Nonsense,0,4,Makes Sense,1,2,Makes Sense,1,3
the crown jewel.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the crown prince.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4
the cucumber nose.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,0
the cucumber salad.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the cucumber sea.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the cycle clock.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the cycle hurricane.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the cycle moon.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the cycle stage.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the deer body.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the deer lake.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the deer leg.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the deer meat.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the diamond bracelet.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the diamond ear.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the diamond necklace.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the diamond queen.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,3
the diamond tennis.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the dime bag.,Makes Sense,1,1,Nonsense,0,1,Makes Sense,1,1
the dish cheese.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,1
the dish chicken.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the dish dog.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,1
the dish face.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the dish kitchen.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the dish oven.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the dish salad.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,2
the dish salmon.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the dish soap.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the doctor jail.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,0
the doctor witch.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the dog bed.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the dog body.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the dog book.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the dog bull.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the dog chocolate.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the dog corn.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,0
the dog crate.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,3
the dog dish.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the dog door.,Nonsense,0,2,Nonsense,0,2,Makes Sense,1,1
the dog face.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the dog flea.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3
the dog magazine.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the dog mother.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the dog pet.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the dog picture.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,3
the dog school.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the dog sheep.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the dog sled.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the dollar coin.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,3
the dollar gun.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the dollar picture.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the dollar television.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the dolphin river.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the donkey meat.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,2
the door barn.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the door bedroom.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,3
the door bell.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the door cabin.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the door cage.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,2
the door cat.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the door church.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the door coin.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,0
the door crate.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,3
the door dog.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the door headlight.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the door house.,Makes Sense,1,4,Makes Sense,1,2,Nonsense,0,3
the door key.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the door kitchen.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the door library.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the door milk.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,0
the door oven.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the door pet.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the door prison.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the door refrigerator.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the door screen.,Makes Sense,1,2,Nonsense,0,2,Makes Sense,1,3
the door stage.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the dove soap.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,1
the drawer kitchen.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,3
the drawer knife.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,3
the dress clothes.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the dress jeans.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,3
the dress mother.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the dress ship.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,0
the dress shirt.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the dress summer.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the dress sun.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,2
the dress swan.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the dress tennis.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the duck blood.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the duck meat.,Makes Sense,1,2,Nonsense,0,2,Makes Sense,1,2
the duck pet.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the duck pond.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the duck soup.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,2
the duck tape.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,3
the dwarf helmet.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the dwarf pea.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,0
the ear candy.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1
the ear diamond.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the ear elephant.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the earth moon.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the earth star.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the elephant circus.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the elephant ear.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the engine car.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the engine cat.,Makes Sense,1,2,Nonsense,0,1,Nonsense,0,0
the engine chess.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,0
the engine fire.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the engine ship.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,2
the engine street.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the engine vehicle.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,3
the face baby.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the face bed.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the face chair.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,0
the face clown.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the face dish.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the face dog.,Makes Sense,1,3,Nonsense,0,1,Nonsense,0,1
the face horse.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,0
the face mask.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the face mountain.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the face rat.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,0
the face sheet.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1
the face stage.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1
the farmer cattle.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the farmer chicken.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the farmer grape.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the farmer pig.,Nonsense,0,4,Makes Sense,1,3,Nonsense,0,3
the farmer star.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the farmer wife.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,3
the farmer worm.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the father blood.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the father church.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the field army.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,3
the field bus.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the field cap.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the field flower.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the field grass.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the field guy.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the field kitchen.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the field mouse.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4
the field phone.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the field railroad.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the field school.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the field square.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the field star.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the field vehicle.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the fire ant.,Makes Sense,1,2,Nonsense,0,2,Makes Sense,1,4
the fire ball.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,2
the fire bell.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the fire bowl.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the fire brick.,Makes Sense,1,1,Makes Sense,1,3,Makes Sense,1,2
the fire engine.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the fire gun.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the fire home.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the fire leaf.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the fire radio.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the fire road.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the fire truck.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the fireplace brick.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,3
the fisherman lobster.,Nonsense,0,3,Nonsense,0,2,Makes Sense,1,4
the flag heart.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the flag hurricane.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the flag rainbow.,Nonsense,0,3,Nonsense,0,2,Nonsense,0,1
the flag star.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,3
the flame orange.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1
the flea cat.,Nonsense,0,2,Makes Sense,1,1,Nonsense,0,1
the flea circus.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3
the flea dog.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the flea house.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the flea soap.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the flood stage.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,2
the flour bread.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the flour cake.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the flour corn.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,3
the flour potato.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the flour rock.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the flour water.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,2
the flower bed.,Nonsense,0,4,Makes Sense,1,3,Makes Sense,1,3
the flower field.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the flower garden.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the flower gardener.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the flower girl.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the flower leaf.,Nonsense,0,4,Makes Sense,1,3,Nonsense,0,2
the flower pot.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the foot bird.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the foot cat.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the foot hill.,Makes Sense,1,3,Nonsense,0,3,Nonsense,0,1
the foot water.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,0
the forest cloud.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the forest fire.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the forest lawn.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,2
the forest pine.,Nonsense,0,4,Makes Sense,1,3,Makes Sense,1,3
the forest rain.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the forest road.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the fork leg.,Nonsense,0,1,Nonsense,0,3,Nonsense,0,1
the fountain pen.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the fountain water.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the frog leg.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,2
the frog toad.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the garden ant.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,3
the garden cottage.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the garden flower.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the garden kitchen.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the garden picture.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the garden plant.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the garden prison.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the garden rose.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the garden salad.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the garden window.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the gardener flower.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the giraffe neck.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,4
the girl chocolate.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the girl church.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the girl cow.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the girl flower.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the girl juice.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,0
the girl valley.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the glove gold.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the goat baby.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the goat cheese.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the goat meat.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the goat milk.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the goat pet.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the gold banana.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
