Stimuli,GPT Temp 0,GPT Temp .5,GPT Temp 1,GPT Continuous Temp 0,GPT Continuous Temp .5,GPT Continuous Temp 1,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum
the bull dog., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.79,0.63,28,0.02,0,0.01,0.16,7,41327,4.62,378,1285,1663,2.58,3.11,5.69
the swimming whale., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,3.46,1.2,28,,,,0.3,13,238,2.38,490,104,594,2.69,2.02,4.71
the door prison., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.82,1.12,28,0,0,0,0.13,10,249,2.4,5891,1239,7130,3.77,3.09,6.86
the pine tree., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,28,0.47,0.642,0.56,0.68,8,114664,5.06,217,1293,1510,2.34,3.11,5.45
the bowl soup., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,1.68,1.28,28,0.05,0.061,0.06,0.63,8,622,2.79,525,362,887,2.72,2.56,5.28
the autumn sun., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.89,0.31,28,0,0,0,0.16,9,8944,3.95,605,2689,3294,2.78,3.43,6.21
the dog chocolate., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.64,1.19,28,0,0,0,0.19,12,942,2.97,1285,232,1517,3.11,2.37,5.47
the pet door., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1.71,1.76,28,0,0,0,0.16,7,40132,4.6,242,5891,6133,2.38,3.77,6.15
the ship cow., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.29,0.66,28,0,0,0,0.04,7,0,0,793,403,1196,2.9,2.61,5.5
the bell door., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,1.18,1.12,28,0.05,0,0.02,0.36,8,1488,3.17,507,5891,6398,2.71,3.77,6.48
the building plant., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.41,1.45,29,0,0,0,0.1,13,4007,3.6,2854,1302,4156,3.46,3.11,6.57
the mouse church., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.46,0.79,28,0,0,0,-0.01,11,50,1.71,146,2844,2990,2.16,3.45,5.62
the cheese cottage., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.57,1.32,28,0,0,0,0.34,13,2012,3.3,497,555,1052,2.7,2.74,5.44
the salad potato., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.79,1.42,28,0,0.016,0.01,0.52,11,536,2.73,281,206,487,2.45,2.31,4.76
the frog soup., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,2.41,1.52,29,0,0,0,0.03,8,4305,3.63,74,362,436,1.87,2.56,4.43
the book bell., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.39,0.74,28,0,0,0,0.11,8,156,2.2,4932,507,5439,3.69,2.71,6.4
the door oven., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,1.21,1.34,28,0,0,0,0.2,8,304,2.48,5891,321,6212,3.77,2.51,6.28
the milk nut., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.79,0.99,28,0,0,0,0.04,7,0,0,1868,123,1991,3.27,2.09,5.36
the book horse., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.62,0.9,29,0,0,0,0.02,9,7445,3.87,4932,1518,6450,3.69,3.18,6.87
the palace window., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.55,1.15,29,,0,0,0.14,12,865,2.94,761,2372,3133,2.88,3.38,6.26
the seat child., Makes Sense, Makes Sense, Makes Sense,3,3,4,-1,0.68,1.06,28,0,0,0,0.1,9,2671,3.43,1396,7645,9041,3.14,3.88,7.03
the milk thistle., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,0.5,0.92,28,0,0,0,-0.02,11,57921,4.76,1868,24,1892,3.27,1.38,4.65
the stream bed., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1.61,1.57,28,0,0,0,0.13,9,39976,4.6,673,4376,5049,2.83,3.64,6.47
the tape duck., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.83,1.04,29,0,0,0,0.07,8,158,2.2,508,174,682,2.71,2.24,4.95
the gorilla baby., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,3.21,1.15,29,0,0,0,0.3,11,282,2.45,34,3281,3315,1.53,3.52,5.05
the log cabin., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.86,0.76,28,0.09,0.109,0.1,0.56,8,306396,5.49,134,485,619,2.13,2.69,4.81
the house flea., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,2.5,1.5,28,0,0,0,0.05,9,560,2.75,8601,30,8631,3.93,1.48,5.41
the golf holiday., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.14,1.33,28,0,0,0,0.15,11,47451,4.68,546,1036,1582,2.74,3.02,5.75
the circle shoe., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.21,0.63,28,0,0,0,0.1,10,323,2.51,861,253,1114,2.94,2.4,5.34
the window kitchen., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.24,1.06,29,0,0,0,0.45,13,317,2.5,2372,1890,4262,3.38,3.28,6.65
the boot stage., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,0.39,0.63,28,0,0,0,0.08,9,5991,3.78,159,2528,2687,2.2,3.4,5.6
the pup tent., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,1.52,1.72,29,0.01,,0.01,0.22,7,8581,3.93,16,657,673,1.2,2.82,4.02
the cabin door., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.96,0.19,28,0.01,0,0,0.29,9,24728,4.39,485,5891,6376,2.69,3.77,6.46
the beach chair., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.79,0.62,29,0,0,0,0.1,10,53354,4.73,1060,1876,2936,3.03,3.27,6.3
the house baby., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,0.93,1.05,28,0,0,0,0.11,9,2980,3.47,8601,3281,11882,3.93,3.52,7.45
the bed face., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,0.83,1.1,29,0,0,0,0.31,7,2234,3.35,4376,8000,12376,3.64,3.9,7.54
the bus bridge., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,1.34,1.4,29,0,0,0,0.01,9,5810,3.76,1155,1034,2189,3.06,3.01,6.08
the road jail., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.43,0.74,28,0,0,0,0.12,8,242,2.39,3791,530,4321,3.58,2.72,6.3
the bird leg., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,3.21,1.26,28,0,0,0,0.12,7,592,2.77,752,1137,1889,2.88,3.06,5.93
the pig farmer., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.9,0.41,29,0,0,0,0.26,9,14840,4.17,320,562,882,2.51,2.75,5.25
the tent pup., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,0.43,0.79,28,0,0.041,0.02,0.22,7,0,0,657,16,673,2.82,1.2,4.02
the knife pen., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.76,0.95,29,0,0.013,0.01,0.17,8,191,2.28,663,349,1012,2.82,2.54,5.36
the water roach., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,1.93,1.56,29,0,0,0,0.03,10,0,0,7749,114,7863,3.89,2.06,5.95
the umbrella beach., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.21,1.17,28,0,0,0,0.22,13,4193,3.62,203,1060,1263,2.31,3.03,5.33
the rose summer., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.61,1.07,28,0,0,0,0.2,10,296,2.47,1356,2165,3521,3.13,3.34,6.47
the rocket ship., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.69,1.04,29,0.15,0.139,0.14,0.11,10,32055,4.51,146,793,939,2.16,2.9,5.06
the sheep pen., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.19,1.8,27,0.01,0,0,0.2,8,4780,3.68,718,349,1067,2.86,2.54,5.4
the leaf picture., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.14,1.65,28,0,0,0,0.11,11,2254,3.35,279,1905,2184,2.45,3.28,5.73
the meadow mountain., Makes Sense, Makes Sense, Nonsense,3,3,3,-1,1.29,1.24,28,0,0,0,0.32,14,100,2,173,829,1002,2.24,2.92,5.16
the cake flour., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.07,1.28,29,0,0,0,0.54,9,27771,4.44,383,462,845,2.58,2.66,5.25
the sugar water., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.59,0.91,29,0,0,0,0.2,10,32303,4.51,976,7749,8725,2.99,3.89,6.88
the car plant., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1.62,1.72,29,0,0,0,0.02,8,12850,4.11,4944,1302,6246,3.69,3.11,6.81
the garden rose., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,3.03,1.4,29,0.04,0.073,0.06,0.37,10,8118,3.91,1998,1356,3354,3.3,3.13,6.43
the sheep dog., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.43,1.17,28,0.11,0.034,0.07,0.12,8,22726,4.36,718,1285,2003,2.86,3.11,5.97
the building pond., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.96,1.29,28,0,0,0,0.08,12,432,2.64,2854,257,3111,3.46,2.41,5.87
the coin dollar., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,2.28,1.33,29,0,0.048,0.02,0.5,10,1350,3.13,140,263,403,2.15,2.42,4.57
the library shelf., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.71,0.71,28,0,0,0,0.31,12,9915,4,942,246,1188,2.97,2.39,5.36
the baby mattress., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.39,1.31,28,0,0,0,0.13,12,5358,3.73,3281,170,3451,3.52,2.23,5.75
the jaw neck., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.45,0.83,29,0,0,0,0.4,7,115,2.06,222,1327,1549,2.35,3.12,5.47
the plant house., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,2.69,1.28,29,0.01,0,0,0.03,10,2817,3.45,1302,8601,9903,3.11,3.93,7.05
the radio car., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.11,0.96,28,0.01,0,0,0.11,8,9823,3.99,1503,4944,6447,3.18,3.69,6.87
the face mask., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.89,0.32,27,0.04,0.016,0.03,0.5,8,148493,5.17,8000,253,8253,3.9,2.4,6.31
the ocean bed., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.83,1.51,29,0.03,0,0.02,0.03,8,6884,3.84,436,4376,4812,2.64,3.64,6.28
the truck bag., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,0.93,1.27,28,0,0,0,0.34,8,67,1.83,444,1122,1566,2.65,3.05,5.7
the soup frog.,Nonsense, Nonsense, Nonsense,2,2,2,-1,0.75,1.17,28,0,0,0,0.03,8,3138,3.5,362,74,436,2.56,1.87,4.43
the pill money., Nonsense, Nonsense, Nonsense,2,2,2,1,2.03,1.59,29,0,0,0,0.02,9,629,2.8,233,7226,7459,2.37,3.86,6.23
the soap dish., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,3.39,1.29,28,0.01,0.136,0.07,0.26,8,48516,4.69,367,390,757,2.56,2.59,5.16
the bedroom house., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,0.96,1.32,28,0.01,0.043,0.03,0.37,12,654036,5.82,1000,8601,9601,3,3.93,6.93
the bell pepper., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.71,1.05,28,0,0,0,0.14,10,252194,5.4,507,121,628,2.71,2.08,4.79
the fire brick., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1,1.34,29,0,0,0,0.13,9,9141,3.96,2738,498,3236,3.44,2.7,6.13
the jaw teeth., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1.43,1.17,28,0.08,0.158,0.12,0.85,8,2147,3.33,222,1396,1618,2.35,3.14,5.49
the screen menu., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.11,1.66,28,0,0,0,0.39,10,52590,4.72,518,130,648,2.71,2.11,4.83
the bread corn., Nonsense, Nonsense, Nonsense,3,3,3,-1,1.25,1.32,28,0,0,0,0.39,9,2176,3.34,1327,445,1772,3.12,2.65,5.77
the cake apple., Nonsense, Nonsense, Nonsense,3,3,3,-1,1,1.04,29,0.01,0,0,0.37,9,499,2.7,383,315,698,2.58,2.5,5.08
the ice bag., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.25,1.27,28,0,0,0,0.06,6,8292,3.92,934,1122,2056,2.97,3.05,6.02
the telephone home., Nonsense, Nonsense, Makes Sense,3,3,3,-1,1.04,1.14,28,0,0,0,0.2,13,1446,3.16,1810,8831,10641,3.26,3.95,7.2
the circus elephant., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.86,0.59,28,0.06,0.028,0.04,0.57,14,3941,3.6,257,226,483,2.41,2.35,4.76
the orange cat., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.71,0.94,28,0,0,0,0.14,9,13148,4.12,495,739,1234,2.69,2.87,5.56
the soup chocolate., Nonsense, Nonsense, Nonsense,2,3,2,-1,0.61,0.83,28,0,0,0,0.49,13,77,1.89,362,232,594,2.56,2.37,4.92
the tooth gold., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,1.07,1.1,29,0,0,0,0.05,9,1075,3.03,233,1575,1808,2.37,3.2,5.56
the horse shoe., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.79,0.79,28,0.04,0.018,0.03,0.09,9,29353,4.47,1518,253,1771,3.18,2.4,5.58
the snow bird., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.59,1.43,29,0,0,0,0.04,8,2617,3.42,1055,752,1807,3.02,2.88,5.9
the face stage., Nonsense, Nonsense, Nonsense,2,3,3,-1,0.24,0.64,29,0,0,0,0.06,9,410,2.61,8000,2528,10528,3.9,3.4,7.31
the ship dress., Nonsense, Nonsense, Nonsense,2,3,2,1,0.61,0.96,28,0,0,0,0.01,9,138,2.14,793,1516,2309,2.9,3.18,6.08
the chicken breast., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,27,0.02,0.011,0.02,0.18,13,319791,5.5,534,774,1308,2.73,2.89,5.62
the leg bike., Nonsense, Nonsense, Nonsense,3,3,3,-1,0.54,0.69,28,0,0,0,0.16,7,157,2.2,1137,153,1290,3.06,2.18,5.24
the father church., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.96,1.1,28,0,0,0,0.11,12,69,1.85,4872,2844,7716,3.69,3.45,7.14
the bird blood., Nonsense, Nonsense, Nonsense,2,2,2,1,3,1.54,28,0,0,0,0.01,9,657,2.82,752,2536,3288,2.88,3.4,6.28
the chicken blood., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.61,0.69,28,0,0,0,0.08,12,3907,3.59,534,2536,3070,2.73,3.4,6.13
the judge woman., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.86,1.13,29,0,0,0,0.13,10,70,1.85,988,6072,7060,2.99,3.78,6.78
the grape vine., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.96,0.19,28,0.24,0.219,0.23,0.17,9,26811,4.43,37,46,83,1.57,1.66,3.23
the key menu., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.54,1.57,28,0,0,0,0.36,7,8950,3.95,1281,130,1411,3.11,2.11,5.22
the mountain forest., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.1,1.29,29,0,0,0,0.15,14,11990,4.08,829,1219,2048,2.92,3.09,6
the money pot., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.29,0.98,28,0.01,0,0,0.06,8,5423,3.73,7226,416,7642,3.86,2.62,6.48
the ball winter., Nonsense, Nonsense, Nonsense,3,2,2,-1,0.25,0.59,28,0,0,0,0.01,10,87,1.94,1664,1423,3087,3.22,3.15,6.37
the beach house., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.86,0.44,29,0.01,0,0,0.13,10,310025,5.49,1060,8601,9661,3.03,3.93,6.96
the engine rocket., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,2.07,1.44,28,0,0,0,0.24,12,629,2.8,788,146,934,2.9,2.16,5.06
the army radio., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.32,1.09,28,0,0,0,0.03,9,4544,3.66,1933,1503,3436,3.29,3.18,6.46
the pot pie., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,28,0,0,0,0.38,6,37335,4.57,416,225,641,2.62,2.35,4.97
the beard summer., Nonsense, Nonsense, Nonsense,3,3,3,-1,0.29,0.66,28,0,0,0,0.15,11,0,0,397,2165,2562,2.6,3.34,5.93
the vodka bottle., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.97,0.19,29,0.01,0.021,0.02,0.34,11,6832,3.83,82,1479,1561,1.91,3.17,5.08
the school ballet., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,3.71,0.66,28,0,0,0,0.28,12,511,2.71,6984,272,7256,3.84,2.43,6.28
the boy clock., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.43,1,28,0,0,0,0.12,8,90,1.96,3876,637,4513,3.59,2.8,6.39
the meat lamb., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.96,1.06,27,0.03,0,0.02,0.47,8,146,2.17,1280,265,1545,3.11,2.42,5.53
the pea plant., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.93,0.38,28,0,,0,0.47,8,5792,3.76,30,1302,1332,1.48,3.11,4.59
the island prison., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.24,1.35,29,0,0,0,0.11,12,6105,3.79,1209,1239,2448,3.08,3.09,6.18
the baby sister., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,28,0,0,0,0.37,10,69481,4.84,3281,1464,4745,3.52,3.17,6.68
the phone shoe., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.11,0.31,28,0,0,0,0.11,9,135,2.13,1414,253,1667,3.15,2.4,5.55
the chicken soup., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,28,0.04,0.092,0.07,0.5,11,149483,5.17,534,362,896,2.73,2.56,5.29
the chocolate cake., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,28,0.03,0.061,0.05,0.54,13,505651,5.7,232,383,615,2.37,2.58,4.95
the forest cloud., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.29,1.41,28,0,0,0,0.06,11,137,2.14,1219,560,1779,3.09,2.75,5.83
the steak pie., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1.83,1.49,29,0.15,0,0.08,0.68,8,3015,3.48,146,225,371,2.16,2.35,4.52
the boy mouth., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,1.18,1.33,28,0,0,0,0.14,8,523,2.72,3876,2411,6287,3.59,3.38,6.97
the tent orange., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.61,0.96,28,0,0,0,0.17,10,54,1.74,657,495,1152,2.82,2.69,5.51
the menu screen., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,3.07,1.39,28,0,,0,0.39,10,68242,4.83,130,518,648,2.11,2.71,4.83
the mother chimp., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,3.71,0.81,28,0,0,0,0.22,11,107,2.03,7356,9,7365,3.87,0.95,4.82
the taxi cab., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.93,0.38,28,0.3,0.537,0.42,0.57,7,49995,4.7,529,178,707,2.72,2.25,4.97
the television bedroom., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.11,1.34,28,0,0,0,0.05,17,52,1.72,2033,1000,3033,3.31,3,6.31
the ant fire., Makes Sense, Makes Sense, Makes Sense,2,3,2,-1,1,1.02,28,0,0,0,0.06,7,168,2.23,69,2738,2807,1.84,3.44,5.28
the refrigerator bulb., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.43,0.88,28,,0,0,0.22,16,160,2.21,152,116,268,2.18,2.06,4.25
the cage door., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.79,0.57,28,0.02,0,0.01,0.42,8,12870,4.11,225,5891,6116,2.35,3.77,6.12
the car cop., Makes Sense, Makes Sense, Makes Sense,2,3,3,-1,1.97,1.27,29,0,0,0,0.32,6,2141,3.33,4944,155,5099,3.69,2.19,5.88
the milk horse., Nonsense, Makes Sense, Nonsense,2,2,3,-1,0.79,1.01,29,0,0,0,0.02,9,158,2.2,1868,1518,3386,3.27,3.18,6.45
the summer hay., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.41,1.4,29,0,0,0,0.3,9,762,2.88,2165,266,2431,3.34,2.42,5.76
the wine garden., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.36,1.03,28,0,0,0,0.14,10,2069,3.32,1313,1998,3311,3.12,3.3,6.42
the rain jacket., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,29,0,0,0,0.12,10,30335,4.48,1279,617,1896,3.11,2.79,5.9
the stage flood., Nonsense, Nonsense, Nonsense,2,3,2,-1,1.18,1.36,28,0,0,0,0.09,10,356,2.55,2528,268,2796,3.4,2.43,5.83
the stage ape., Nonsense, Makes Sense, Nonsense,2,3,2,-1,1.41,1.43,29,0,0,0,-0.01,8,0,0,2528,90,2618,3.4,1.95,5.36
the chef television., Makes Sense, Nonsense, Nonsense,3,3,3,-1,1,1.09,28,0,0,0,0,14,0,0,48,2033,2081,1.68,3.31,4.99
the tea coffee., Makes Sense, Makes Sense, Makes Sense,3,3,2,-1,1.07,1.13,29,0.18,0.369,0.27,0.55,9,10821,4.03,1589,1644,3233,3.2,3.22,6.42
the sun pool., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.25,1.24,28,0,0,0,0.14,7,701,2.85,2689,620,3309,3.43,2.79,6.22
the police tape., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.66,0.97,29,0,0,0,0.12,10,10982,4.04,3770,508,4278,3.58,2.71,6.28
the banana tree., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.59,1.09,29,0.05,0,0.02,0.22,10,19011,4.28,74,1293,1367,1.87,3.11,4.98
the water sugar., Nonsense, Nonsense, Makes Sense,3,3,3,-1,1.21,1.32,28,0,0,0,0.2,10,979,2.99,7749,976,8725,3.89,2.99,6.88
the bulb tulip., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.43,1.32,28,0.09,0.041,0.07,0.17,9,90,1.96,116,14,130,2.06,1.15,3.21
the toilet seat., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,28,0.04,0.196,0.12,0.22,10,199683,5.3,415,1396,1811,2.62,3.14,5.76
the cage parrot., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.57,1.2,28,0.01,0,0,0.32,10,361,2.56,225,45,270,2.35,1.65,4.01
the milk sugar., Nonsense, Nonsense, Nonsense,3,3,3,1,0.64,0.87,28,0,0,0,0.36,9,18853,4.28,1868,976,2844,3.27,2.99,6.26
the blood father., Makes Sense, Makes Sense, Makes Sense,2,3,3,1,2.59,1.68,29,0,0,0,0.03,11,764,2.88,2536,4872,7408,3.4,3.69,7.09
the home library., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.66,1.49,29,0,0,0,0.17,11,33568,4.53,8831,942,9773,3.95,2.97,6.92
the meat duck., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.24,1.38,29,0,0,0,0.15,8,124,2.1,1280,174,1454,3.11,2.24,5.35
the hairdresser mother., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.29,1.27,28,,,,0,17,98,2,46,7356,7402,1.66,3.87,5.53
the lid seat., Makes Sense, Nonsense, Nonsense,3,3,3,-1,0.79,0.94,29,0,0,0,0.15,7,104,2.02,246,1396,1642,2.39,3.14,5.54
the army bomb., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.07,1.05,28,0,0,0,0.07,8,2185,3.34,1933,536,2469,3.29,2.73,6.02
the bread knife., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.71,0.76,28,0.02,0,0.01,0.27,10,20367,4.31,1327,663,1990,3.12,2.82,5.94
the beach road., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.14,1.22,29,0,0,0,0.13,9,15979,4.2,1060,3791,4851,3.03,3.58,6.6
the hotel cafe., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,4,0,27,0,0,0,0.53,9,2574,3.41,2241,342,2583,3.35,2.53,5.88
the jaw surgeon., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.54,0.84,28,0,0,0,0.1,10,73,1.87,222,146,368,2.35,2.16,4.51
the garden kitchen., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.31,1.54,29,0,0,0,0.27,13,3169,3.5,1998,1890,3888,3.3,3.28,6.58
the guy coin., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.54,1,28,,0,0,0.08,7,0,0,465,140,605,2.67,2.15,4.81
the cloud forest., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,0.66,1.14,29,0,0,0,0.06,11,51301,4.71,560,1219,1779,2.75,3.09,5.83
the holiday television., Makes Sense, Nonsense, Makes Sense,3,3,3,1,2,1.52,28,0,0,0,0.08,17,985,2.99,1036,2033,3069,3.02,3.31,6.32
the pet pig., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.78,0.58,27,0,0,0,0.42,6,7678,3.89,242,320,562,2.38,2.51,4.89
the road bed., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1,1.36,29,0.01,0,0,0.03,7,11777,4.07,3791,4376,8167,3.58,3.64,7.22
the lid jar., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.03,1.24,29,0.01,0.138,0.07,0.62,6,205,2.31,246,199,445,2.39,2.3,4.69
the radio orchestra., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.1,1.54,29,0,0,0,0.17,14,1039,3.02,1503,244,1747,3.18,2.39,5.56
the potato flour., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,2.17,1.54,29,0,0,0,0.53,11,8530,3.93,206,462,668,2.31,2.66,4.98
the shelf book., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,1.1,1.05,29,0.24,0.368,0.3,0.25,9,3457,3.54,246,4932,5178,2.39,3.69,6.08
the shoe circle., Nonsense, Nonsense, Nonsense,3,3,3,1,0.72,0.88,29,0,0,0,0.1,10,359,2.56,253,861,1114,2.4,2.94,5.34
the rock radio., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,1.89,1.57,28,0,0,0,0.07,9,75756,4.88,1426,1503,2929,3.15,3.18,6.33
the house bedroom., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,2.55,1.43,29,0,0,0,0.37,12,1923,3.28,8601,1000,9601,3.93,3,6.93
the star earth., Makes Sense, Makes Sense, Makes Sense,3,3,3,-1,0.1,0.31,29,0,0,0,0.21,9,698,2.84,952,2204,3156,2.98,3.34,6.32
the pot pipe., Nonsense, Nonsense, Nonsense,3,2,3,1,1.75,1.65,28,0,0,0,0.3,7,1512,3.18,416,402,818,2.62,2.6,5.22
the cop car., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.93,0.38,27,0.01,0.027,0.02,0.32,6,31562,4.5,155,4944,5099,2.19,3.69,5.88
